08/02/1993,Time,14:16,Type,Tupolev Tu-154M,Owner/operator,Iran Airtour,Registration,EP-ITD,MSN,91A903,Year of manufacture,1991,Engine model,Soloviev D-30KU-154-II,Fatalities,Fatalities: 131 / Occupants: 131,Other fatalities,2,Aircraft damage,Destroyed, written off,Category,Accident,Location,15 km from Tehran-Mehrabad Airport (THR) -  ,"	   Iran",Phase,En route,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Tehran-Mehrabad Airport (THR/OIII),Destination airport,Mashhad Airport (MHD/OIMM),Confidence Rating,Information verified through data from accident investigation authorities,,,,,,,,,,
23/03/1994,Time,0:57,Type,Airbus A310-304,Owner/operator,Aeroflot Russian International Airlines,Registration,F-OGQS,MSN,596,Year of manufacture,1991,Total airframe hrs,5375 hours,Cycles,846 flights,Engine model,GE CF6-80C2A2,Fatalities,Fatalities: 75 / Occupants: 75,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,near Mezhduretshensk -  ,"	   Russia",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Moskva-Sheremetyevo Airport (SVO/UUEE),Destination airport,Hong Kong-Kai Tak International Airport (HKG/VHHH),Investigating agency,MAK,Confidence Rating,Accident investigation report completed and information captured,,,,
26/04/1994,Time,20:16,Type,Airbus A300B4-622R,Owner/operator,China Airlines,Registration,B-1816,MSN,580,Year of manufacture,1990,Total airframe hrs,8572 hours,Cycles,3910 flights,Engine model,Pratt & Whitney PW4158,Fatalities,Fatalities: 264 / Occupants: 271,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,Nagoya-Komaki International Airport (NGO) -  ,"	   Japan",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Taipei-Chiang Kai Shek International Airport (TPE/RCTP),Destination airport,Nagoya-Komaki International Airport (NGO/RJNN),Investigating agency,AAIC,Confidence Rating,Accident investigation report completed and information captured,,,,
06/06/1994,Time,8:22,Type,Tupolev Tu-154M,Owner/operator,China Northwest Airlines,Registration,B-2610,MSN,86A740,Year of manufacture,1986,Total airframe hrs,12507 hours,Cycles,6651 flights,Engine model,Soloviev D-30KU-154-II,Fatalities,Fatalities: 160 / Occupants: 160,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,29 km SE of Xian-Xianyang International Airport (XIY) -  ,"	   China",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Xian-Xianyang International Airport (XIY/ZLXY),Destination airport,Guangzhou-Baiyun Airport (CAN/ZGGG),,,,,,,,
01/07/1994,Time,8:30,Type,Fokker F-28 Fellowship 4000,Owner/operator,Air Mauritanie,Registration,5T-CLF,MSN,11092,Year of manufacture,1975,Fatalities,Fatalities: 80 / Occupants: 93,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,Tidjikja Airport (TIY) -  ,"	   Mauritania",Phase,Landing,Nature,Passenger - Scheduled,Departure airport,Nouakchott Airport (NKC/GQNN),Destination airport,Tidjikja Airport (TIY/GQND),,,,,,,,,,,,,,
08/09/1994,Time,19:03,Type,Boeing 737-3B7,Owner/operator,USAir,Registration,N513AU,MSN,23699/1452,Year of manufacture,1987,Total airframe hrs,23846 hours,Engine model,CFMI CFM56-3B2,Fatalities,Fatalities: 132 / Occupants: 132,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,near Aliquippa, PA -  ,"	   United States of America",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Chicago-O'Hare International Airport, IL (ORD/KORD),Destination airport,Pittsburgh International Airport, PA (PIT/KPIT),Investigating agency,NTSB,Confidence Rating,Accident investigation report completed and information captured,,,
12/10/1994,Time,23:05,Type,Fokker F-28 Fellowship 1000,Owner/operator,Iran Aseman Airlines,Registration,EP-PAV,MSN,11070,Year of manufacture,1973,Fatalities,Fatalities: 66 / Occupants: 66,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,13,8 km N of Isfahan Airport (IFN/OIFM) -  ,"	   Iran",Phase,Initial climb,Nature,Passenger - Scheduled,Departure airport,Isfahan-Shahid Beheshti Airport (IFN/OIFM),Destination airport,Tehran-Mehrabad Airport (THR/OIII),Confidence Rating,Information verified through data from accident investigation authorities,,,,,,,,,,,
31/10/1994,Time,15:59,Type,ATR 72-212,Owner/operator,American Eagle, opb Simmons Airlines,Registration,N401AM,MSN,401,Year of manufacture,1994,Total airframe hrs,1352 hours,Cycles,1671 flights,Engine model,P&W Canada PW127,Fatalities,Fatalities: 68 / Occupants: 68,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,near Roselawn, IN -  ,"	   United States of America",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Indianapolis International Airport, IN (IND/KIND),Destination airport,Chicago-O'Hare International Airport, IL (ORD/KORD),Investigating agency,NTSB,Confidence Rating,Accident investigation report completed and information captured
29/12/1994,Time,15:30,Type,Boeing 737-4Y0,Owner/operator,THY Turkish Airlines,Registration,TC-JES,MSN,26074/2376,Year of manufacture,1993,Engine model,CFMI CFM56-3C1,Fatalities,Fatalities: 57 / Occupants: 76,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,4 km from Van Airport (VAN) -  ,"	   Türkiye",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Ankara-Esenboga Airport (ESB/LTAC),Destination airport,Van Airport (VAN/LTCI),,,,,,,,,,,,
10/01/1995,Time,19:38,Type,Douglas DC-9-14,Owner/operator,Intercontinental de Aviación,Registration,HK-3839X,MSN,45742/26,Year of manufacture,1966,Total airframe hrs,65084 hours,Cycles,69716 flights,Engine model,P&W JT8D-7A,Fatalities,Fatalities: 51 / Occupants: 52,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,near Maria La Baja -  ,"	   Colombia",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Bogotá-Eldorado Airport (BOG/SKBO),Destination airport,Cartagena-Rafael Núñez Airport (CTG/SKCG),Investigating agency,Aerocivil,Confidence Rating,Accident investigation report completed and information captured,,,,
31/03/1995,Time,9:08,Type,Airbus A310-324,Owner/operator,Tarom,Registration,YR-LCC,MSN,450,Year of manufacture,1987,Total airframe hrs,31092 hours,Cycles,6216 flights,Engine model,P&W PW4152,Fatalities,Fatalities: 60 / Occupants: 60,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,3 km N of Bucharest-Otopeni International Airport (OTP) -  ,"	   Romania",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Bucharest-Otopeni International Airport (OTP/LROP),Destination airport,Brussel-Zaventem Airport (BRU/EBBR),Investigating agency,Romania MoT,Confidence Rating,Accident investigation report completed and information captured,,,,
29/04/1995,Time,,Type,British Aerospace BAe-748-357 Srs. 2B SCD,Owner/operator,Sri Lanka Air Force,Registration,CR834,MSN,1768,Year of manufacture,1979,Fatalities,Fatalities: 50 / Occupants: 50,Other fatalities,0,Aircraft damage,Destroyed, written off,Location,near Jaffna-Palaly Airport (JAF/VCCJ) -  ,"	   Sri Lanka",Phase,Approach,Nature,Military,Departure airport,Anuradhapura Airport (ACJ/VCCA),Destination airport,Jaffna-Palaly Airport (JAF/VCCJ),Confidence Rating,Information is only available from news, social media or unofficial sources,,,,,,,,,,,,,
09/08/1995,Time,20:14,Type,Boeing 737-2H6,Owner/operator,Aviateca,Registration,N125GU,MSN,23849/1453,Year of manufacture,1987,Total airframe hrs,16645 hours,Cycles,20323 flights,Engine model,Pratt & Whitney JT8D-15A,Fatalities,Fatalities: 65 / Occupants: 65,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,24 km NE of San Salvador -  ,"	   El Salvador",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Guatemala City-La Aurora Airport (GUA/MGGT),Destination airport,San Salvador-Comalapa International Airport (SAL/MSLP),Investigating agency,AAC El Salvador,Confidence Rating,Accident investigation report completed and information captured,,,,
13/09/1995,Time,,Type,Antonov An-32B,Owner/operator,Sri Lanka Air Force,Registration,CR861,MSN,3502,Engine model,Ivchenko AI-20,Fatalities,Fatalities: 75 / Occupants: 75,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,off Ja-Ela -  ,"	   Sri Lanka",Phase,En route,Nature,Military,Departure airport,Colombo-Ratmalana Airport (RML/VCCC),Destination airport,Jaffna-Palaly Airport (JAF/VCCJ),Confidence Rating,Information is only available from news, social media or unofficial sources,,,,,,,,,,,
08/11/1995,Time,21:00,Type,Fokker F-27 Friendship 400M,Owner/operator,Lineas Aéreas del Estado - LADE,Registration,TC-72,MSN,10619,Year of manufacture,1981,Fatalities,Fatalities: 53 / Occupants: 53,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,30 km SE of Villa Dolores, CD -  ,"	   Argentina",Phase,En route,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Villa Reynolds Airport, SL (SAOR),Destination airport,Córdoba-Pajas Blancas Airport, CD (COR/SACO),,,,,,,,,,,
22/11/1995,Time,17:20,Type,Antonov An-32B,Owner/operator,Sri Lanka Air Force,Registration,CR862,MSN,3503,Year of manufacture,1993,Engine model,Ivchenko AI-20,Fatalities,Fatalities: 63 / Occupants: 63,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,13 km off Jaffna -  ,"	   Sri Lanka",Phase,Approach,Nature,Military,Departure airport,Colombo-Ratmalana Airport (RML/VCCC),Destination airport,Jaffna-Palaly Airport (JAF/VCCJ),Confidence Rating,Information is only available from news, social media or unofficial sources,,,,,,,,,
03/12/1995,Time,22:44,Type,Boeing 737-2K9,Owner/operator,Cameroon Airlines,Registration,TJ-CBE,MSN,23386/1143,Year of manufacture,1985,Total airframe hrs,18746 hours,Cycles,23233 flights,Engine model,P&W JT8D-15A,Fatalities,Fatalities: 71 / Occupants: 76,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,1,7 km S of Douala Airport (DLA) -  ,"	   Cameroon",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Cotonou Airport (COO/DBBB),Destination airport,Douala Airport (DLA/FKKD),Investigating agency,CCAA,Confidence Rating,Accident investigation report completed and information captured,,,
05/12/1995,Time,17:54,Type,Tupolev Tu-134B-3,Owner/operator,Azerbaijan Airlines,Registration,4K-65703,MSN,63383,Year of manufacture,1980,Total airframe hrs,27500 hours,Cycles,17893 flights,Engine model,Soloviev D-30,Fatalities,Fatalities: 52 / Occupants: 82,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,3,8 km from Nakhichevan Airport (NAJ) -  ,"	   Azerbaijan",Phase,Initial climb,Nature,Passenger - Scheduled,Departure airport,Nakhichevan Airport (NAJ/UBBN),Destination airport,Baku-Bina International Airport (BAK/UBBB),Confidence Rating,Accident investigation report completed and information captured,,,,,
07/12/1995,Time,3:08,Type,Tupolev Tu-154B,Owner/operator,Khabarovsk United Air,Registration,RA-85164,MSN,76A164,Year of manufacture,1976,Total airframe hrs,30001 hours,Cycles,13801 flights,Engine model,Kuznetsov NK-8-2U,Fatalities,Fatalities: 98 / Occupants: 98,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,50 km W of Grossevichi -  ,"	   Russia",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Yuzhno-Sakhalinsk Airport (UUS/UHSS),Destination airport,Khabarovsk-Novy Airport (KHV/UHHH),Confidence Rating,Accident investigation report completed and information captured,,,,,,
18/12/1995,Time,,Type,Lockheed L-188C Electra,Owner/operator,Trans Service Airlift,Registration,9Q-CRR,MSN,1080,Year of manufacture,1959,Fatalities,Fatalities: 141 / Occupants: 144,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,near Cahungula, Lunda Norte -  ,"	   Angola",Phase,Unknown,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Kinshasa-N'Djili Airport (FIH/FZAA),Destination airport,,,,,,,,,,,,,,
20/12/1995,Time,21:38,Type,Boeing 757-223,Owner/operator,American Airlines,Registration,N651AA,MSN,24609/390,Year of manufacture,1991,Total airframe hrs,13782 hours,Cycles,4922 flights,Engine model,Rolls-Royce RB211-535E4B,Fatalities,Fatalities: 159 / Occupants: 163,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,Buga -  ,"	   Colombia",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Miami International Airport, FL (MIA/KMIA),Destination airport,Cali-Alfonso Bonilla Aragón Airport (CLO/SKCL),Investigating agency,Aerocivil,Confidence Rating,Accident investigation report completed and information captured,,,
08/01/1996,Time,12:43,Type,Antonov An-32B,Owner/operator,African Air, lsf Moscow Airlines,Registration,RA-26222,MSN,2301,Year of manufacture,1988,Engine model,Ivchenko AI-20,Fatalities,Fatalities: 0 / Occupants: 6,Other fatalities,237,Aircraft damage,Destroyed, written off,Category,Accident,Location,Kinshasa-N'Dolo Airport (NLO) -  ,"	   Congo (Democratic Republic)",Phase,Initial climb,Nature,Cargo,Departure airport,Kinshasa-N'Dolo Airport (NLO/FZAB),Destination airport,Kahemba Airport (FZCF),Confidence Rating,Information verified through data from accident investigation authorities,,,,,,,,,
06/02/1996,Time,23:47,Type,Boeing 757-225,Owner/operator,Alas Nacionales, lsf Birgenair,Registration,TC-GEN,MSN,22206/31,Year of manufacture,1984,Total airframe hrs,29269 hours,Cycles,13499 flights,Engine model,Rolls-Royce RB211-535E4,Fatalities,Fatalities: 189 / Occupants: 189,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,26 km NE off Puerto Plata, Dominican Republic -  ,"	   Atlantic Ocean",Phase,En route,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Puerto Plata-La Union International Airport (POP/MDPP),Destination airport,Gander Airport, NL (YQX/CYQX),Investigating agency,DGAC Dom. Rep.,Confidence Rating,Accident investigation report completed and information captured,
26/02/1996,Time,18:55,Type,Lockheed C-130H Hercules,Owner/operator,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),Registration,,MSN,,Fatalities,Fatalities: 91 / Occupants: 91,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,near Jabal Awliya -  ,"	   Sudan",Phase,En route,Nature,Military,Departure airport,El Obeid Airport (EBD/HSOB),Destination airport,Khartoum-Civil Airport (KRT/HSSS),,,,,,,,,,,,,,,,
29/02/1996,Time,20:36,Type,Boeing 737-222,Owner/operator,Faucett Perú,Registration,OB-1451,MSN,19072/86,Year of manufacture,1968,Engine model,P&W JT8D-9A,Fatalities,Fatalities: 123 / Occupants: 123,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,6,3 km W of Arequipa-Rodriguez Ballon Airport (AQP) -  ,"	   Peru",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Lima-Jorge Chávez International Airport (LIM/SPIM),Destination airport,Arequipa-Rodríguez Ballón Airport (AQP/SPQU),Investigating agency,DGAT Peru,Confidence Rating,Accident investigation report completed and information captured,,,,,,,
03/05/1996,Time,,Type,Antonov An-24RV,Owner/operator,Federal Airlines,Registration,ST-FAG,MSN,27307909,Year of manufacture,1972,Engine model,Ivchenko AI-24VT,Fatalities,Fatalities: 53 / Occupants: 53,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,near Haj Yousif -  ,"	   Sudan",Phase,Landing,Nature,Passenger - Scheduled,Departure airport,Wadi Halfa Airport (WHF/HSSW),Destination airport,Khartoum-Civil Airport (KRT/HSSS),,,,,,,,,,,,
11/05/1996,Time,14:13,Type,McDonnell Douglas DC-9-32,Owner/operator,ValuJet Airlines,Registration,N904VJ,MSN,47377/496,Year of manufacture,1969,Total airframe hrs,68395 hours,Cycles,80663 flights,Engine model,P&W JT8D-9A,Fatalities,Fatalities: 110 / Occupants: 110,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,Everglades, FL -  ,"	   United States of America",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Miami International Airport, FL (MIA/KMIA),Destination airport,Atlanta-William B. Hartsfield International Airport, GA (ATL/KATL),Investigating agency,NTSB,Confidence Rating,Accident investigation report completed and information captured,
17/07/1996,Time,20:31,Type,Boeing 747-131,Owner/operator,Trans World Airlines - TWA,Registration,N93119,MSN,20083/153,Year of manufacture,1971,Total airframe hrs,93303 hours,Cycles,16869 flights,Engine model,Pratt & Whitney JT9D-7AH,Fatalities,Fatalities: 230 / Occupants: 230,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,13 km S off East Moriches, NY -  ,"	   United States of America",Phase,En route,Nature,Passenger - Scheduled,Departure airport,New York-John F. Kennedy International Airport, NY (JFK/KJFK),Destination airport,Paris-Charles de Gaulle Airport (CDG/LFPG),Investigating agency,NTSB,Confidence Rating,Accident investigation report completed and information captured,,
29/08/1996,Time,10:22,Type,Tupolev Tu-154M,Owner/operator,Vnukovo Airlines,Registration,RA-85621,MSN,86A742,Year of manufacture,1986,Engine model,Soloviev D-30KU-154-II,Fatalities,Fatalities: 141 / Occupants: 141,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,14,3 km from Svalbard-Longyearbyen Airport (LYR) -  ,"	   Norway",Phase,Approach,Nature,Passenger - Non-Scheduled/charter/Air Taxi,Departure airport,Moskva-Vnukovo Airport (VKO/UUWW),Destination airport,Svalbard-Longyearbyen Airport (LYR/ENSB),Investigating agency,HSL,Confidence Rating,Accident investigation report completed and information captured,,,,,,,
02/10/1996,Time,1:11,Type,Boeing 757-23A,Owner/operator,AeroPeru,Registration,N52AW,MSN,25489/505,Year of manufacture,1992,Total airframe hrs,10654 hours,Cycles,2673 flights,Engine model,Pratt & Whitney PW2037,Fatalities,Fatalities: 70 / Occupants: 70,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,89 km NW off Lima, Peru -  ,"	   Pacific Ocean",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Lima-Jorge Chávez International Airport (LIM/SPIM),Destination airport,Santiago-Arturo Merino Benitez Airport (SCL/SCEL),Investigating agency,DGAT Peru,Confidence Rating,Accident investigation report completed and information captured,,,
31/10/1996,Time,8:27,Type,Fokker 100,Owner/operator,TAM Transportes Aéreos Regionais,Registration,PT-MRK,MSN,11440,Year of manufacture,1993,Total airframe hrs,8171 hours,Engine model,Rolls-Royce Tay 650-15,Fatalities,Fatalities: 95 / Occupants: 95,Other fatalities,4,Aircraft damage,Destroyed, written off,Category,Accident,Location,1,5 km S of São Paulo-Congonhas Airport, SP (CGH) -  ,"	   Brazil",Phase,Initial climb,Nature,Passenger - Scheduled,Departure airport,São Paulo-Congonhas Airport, SP (CGH/SBSP),Destination airport,Rio de Janeiro-Santos Dumont Airport, RJ (SDU/SBRJ),Investigating agency,CENIPA,Confidence Rating,Accident investigation report completed and information captured,,
07/11/1996,Time,17:03,Type,Boeing 727-231,Owner/operator,ADC Airlines,Registration,5N-BBG,MSN,20054/718,Year of manufacture,1969,Total airframe hrs,64956 hours,Cycles,44613 flights,Engine model,P&W JT8D-9A,Fatalities,Fatalities: 144 / Occupants: 144,Other fatalities,0,Aircraft damage,Destroyed, written off,Category,Accident,Location,7,5 km W of Ejirin -  ,"	   Nigeria",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Port Harcourt Airport (PHC/DNPO),Destination airport,Lagos-Murtala Muhammed International Airport (LOS/DNMM),Investigating agency,AIPB,Confidence Rating,Accident investigation report completed and information captured,,,
12/11/1996,Time,18:40,Type,Ilyushin Il-76TD,Owner/operator,Kazakhstan Airlines,Registration,UN-76435,MSN,1023413428,Year of manufacture,1992,Total airframe hrs,2643 hours,Fatalities,Fatalities: 37 / Occupants: 37,Other fatalities,312,Aircraft damage,Destroyed, written off,Category,Accident,Location,5 km from Charkhi Dadri -  ,"	   India",Phase,En route,Nature,Cargo,Departure airport,Shymkent Airport (CIT/UAII),Destination airport,Delhi-Indira Gandhi International Airport (DEL/VIDP),Investigating agency,CoI India,Confidence Rating,Accident investigation report completed and information captured,,,,,,,,
12/11/1996,Time,18:40,Type,Boeing 747-168B,Owner/operator,Saudi Arabian Airlines,Registration,HZ-AIH,MSN,22748/555,Year of manufacture,1982,Total airframe hrs,40035 hours,Cycles,14927 flights,Engine model,Rolls-Royce RB211-524C2,Fatalities,Fatalities: 312 / Occupants: 312,Other fatalities,37,Aircraft damage,Destroyed, written off,Category,Accident,Location,5 km from Charki Dadri -  ,"	   India",Phase,En route,Nature,Passenger - Scheduled,Departure airport,Delhi-Indira Gandhi International Airport (DEL/VIDP),Destination airport,Dhahran International Airport (DHA/OEDR),Investigating agency,CoI India,Confidence Rating,Accident investigation report completed and information captured,,,,
23/11/1996,Time,15:15,Type,Boeing 767-260ER,Owner/operator,Ethiopian Airlines,Registration,ET-AIZ,MSN,23916/187,Year of manufacture,1987,Total airframe hrs,32353 hours,Cycles,12623 flights,Engine model,P&W JT9D-7R4E,Fatalities,Fatalities: 125 / Occupants: 175,Other fatalities,0,Aircraft damage,Destroyed, written off,Location,0,5 km N off Mitsamiouli, Grande Comore -  ,"	   Comoros",Phase,Approach,Nature,Passenger - Scheduled,Departure airport,Addis Ababa-Bole Airport (ADD/HAAB),Destination airport,Nairobi-Jomo Kenyatta International Airport (NBO/HKJK),Confidence Rating,Accident investigation report completed and information captured,,,,,,
